nct_id,study_title,study_status,conditions,interventions,sponsor,phases,Locations,start_date,completion_date
NCT04010643,Clinical and Economic Evaluation of Neurocognitively-Enhanced Online Cognitive Behavioural Therapy,UNKNOWN,Depression,BEHAVIORAL: online cognitive behavioural therapy|BEHAVIORAL: online neurocognitive remediation therapy,University of Southern Denmark,,"University of Southern Denmark, Odense, Denmark",2018-10-24,2022-01-31
NCT00854542,Effectiveness of Telepsychiatry-based Culturally Sensitive Collaborative Treatment of Depressed Chinese Americans,COMPLETED,Depression,BEHAVIORAL: Telepsychiatry-based Culturally Sensitive Collaborative Treatment,Massachusetts General Hospital,,"South Cove Community Health Center, Boston, Massachusetts, 02111, United States",2009-01,2015-04
NCT03904771,Food for Mind - Intervention in the Treatment of Depression,UNKNOWN,Depression,BEHAVIORAL: Nutrition counselling + peer support|BEHAVIORAL: Social activation + peer support,University of Eastern Finland,,"Psychiatric Centre of Kuopio, Kuopio, Northern Savonia, 70600, Finland",2017-11-27,2025-12-31
NCT00918684,"Aging Brain Changes, Executive Dysfunction and Depression",COMPLETED,Depression,DRUG: Escitalopram,Weill Medical College of Cornell University,PHASE4,,2002-12,2010-05
NCT03004443,Inflammation-Induced CNS Glutamate Changes in Depression,TERMINATED,Depression,DRUG: Infliximab|DRUG: Placebo,Emory University,PHASE4,"Emory University, Atlanta, Georgia, 30322, United States",2017-05-15,2019-11-27
NCT03328052,MYnd Analytics Directed Therapy in Depression,UNKNOWN,Depression,DEVICE: MYnd Analytics PEER Online directed antidepressant therapy|OTHER: Conventional antidepressant therapy,Cota Inc.,PHASE4,"Hackensack Meridian Health Network, Brick, New Jersey, 08723, United States|Hackensack Meridian Health Network, Brick, New Jersey, 08724, United States|Hackensack Meridian Health Network, Hackensack, New Jersey, 07601, United States|Hackensack Meridian Health Network, Hackensack, New Jersey, 07601, United States|Hackensack Meridian Health Network, Holmdel, New Jersey, 07733, United States|Hackensack Meridian Health Network, Jackson, New Jersey, 08527, United States|Hackensack Meridian Health Network, Lodi, New Jersey, 07644, United States|Hackensack Meridian Health Network, Lodi, New Jersey, 07644, United States|Hackensack Meridian Health Network, Neptune City, New Jersey, 07753, United States|Hackensack Meridian Health Network, Oakhurst, New Jersey, 07755, United States|Hackensack Meridian Health Network, Old Bridge, New Jersey, 08857, United States|Hackensack Meridian Health Network, Paramus, New Jersey, 07652, United States|Hackensack Meridian Health Network, Point Pleasant, New Jersey, 08742, United States|Hackensack Meridian Health Network, Saddle Brook, New Jersey, 07653, United States|Hackensack Meridian Health Network, Tinton Falls, New Jersey, 07724, United States|Hackensack Meridian Health Network, Toms River, New Jersey, 08753, United States",2017-10-01,2020-10-01
NCT01826903,Perinatal Depression Treatment and Child Development,COMPLETED,Depression,,Duke University,,"Human Development Research Foundation, Islamabad, Pakistan",2012-07,2014-10
NCT03106883,Affective Attentional Bias Training In Depression,COMPLETED,Depression,BEHAVIORAL: Affective training|BEHAVIORAL: Sham training,Queen's University,,"Queen's University, Kingston, Ontario, K7L3N6, Canada",2017-01-30,2018-08-01
NCT06567340,StratCare Trial 2: Evaluating the Clinical and Cost-effectiveness of AI-driven Stratified Care for Depression,NOT_YET_RECRUITING,Depression,DEVICE: StratCare,Rotherham Doncaster and South Humber NHS Foundation Trust,,"Rotherham Doncaster and South Humber NHS Foundation Trust, Doncaster, South Yorkshire, DN4 8QN, United Kingdom",2025-07-07,2026-11-30
NCT04002063,Does Adding a Tailored Cognitive Behavioral Therapy (CBT) Mobile Skills App Mediate Rates of Depression,COMPLETED,Depression,BEHAVIORAL: CBT MobileWork-V plus CBT|BEHAVIORAL: CBT alone,VA Office of Research and Development,,"Washington DC VA Medical Center, Washington, DC, Washington D.C., District of Columbia, 20422-0001, United States|Jesse Brown VA Medical Center, Chicago, IL, Chicago, Illinois, 60612, United States|Rehabilitation R&D Service, Baltimore, MD, Baltimore, Maryland, 21202, United States|Minneapolis VA Health Care System, Minneapolis, MN, Minneapolis, Minnesota, 55417-2309, United States|Coatesville VA Medical Center, Coatesville, PA, Coatesville, Pennsylvania, 19320-2040, United States|Corporal Michael J. Crescenz VA Medical Center, Philadelphia, PA, Philadelphia, Pennsylvania, 19104-4551, United States|VA Pittsburgh Healthcare System University Drive Division, Pittsburgh, PA, Pittsburgh, Pennsylvania, 15240, United States|VA North Texas Health Care System Dallas VA Medical Center, Dallas, TX, Dallas, Texas, 75216-7167, United States|Clement J. Zablocki VA Medical Center, Milwaukee, WI, Milwaukee, Wisconsin, 53295-0001, United States",2022-10-10,2024-03-31
